0	1
0.05	0.987763
0.1	0.95135
0.15	0.891653
0.2	0.810132
0.25	0.708784
0.3	0.590089
0.35	0.456951
0.4	0.312629
0.45	0.160655
0.5	0.00475007
0.55	-0.151271
0.6	-0.303591
0.65	-0.44848
0.7	-0.582392
0.75	-0.702051
0.8	-0.804527
0.85	-0.887312
0.9	-0.94838
0.95	-0.986236
1	-0.999955
1.05	-0.9892
1.1	-0.954234
1.15	-0.895913
1.2	-0.815666
1.25	-0.715454
1.3	-0.597733
1.35	-0.465381
1.4	-0.32164
1.45	-0.170026
1.5	-0.0142517
1.55	0.141872
1.6	0.294524
1.65	0.439966
1.7	0.574641
1.75	0.695252
1.8	0.798846
1.85	0.882889
1.9	0.945323
1.95	0.98462
2	0.999819
2.05	0.990548
2.1	0.957033
2.15	0.900095
2.2	0.821126
2.25	0.722062
2.3	0.605324
2.35	0.473772
2.4	0.330624
2.45	0.179384
2.5	0.023753
2.55	-0.132459
2.6	-0.285429
2.65	-0.431412
2.7	-0.566838
2.75	-0.68839
2.8	-0.793093
2.85	-0.878386
2.9	-0.942181
2.95	-0.982916
3	-0.999594
3.05	-0.991807
3.1	-0.959746
3.15	-0.904195
3.2	-0.826513
3.25	-0.728604
3.3	-0.612862
3.35	-0.482119
3.4	-0.339578
3.45	-0.188725
3.5	-0.0332526
3.55	0.123033
3.6	0.276307
3.65	0.42282
3.7	0.558983
3.75	0.681466
3.8	0.787269
3.85	0.873804
3.9	0.938954
3.95	0.981122
4	0.999278
4.05	0.992976
4.1	0.962371
4.15	0.908212
4.2	0.831825
4.25	0.735078
4.3	0.620341
4.35	0.49042
4.4	0.348496
4.45	0.198043
4.5	0.042743
4.55	-0.113604
4.6	-0.267169
4.65	-0.414196
4.7	-0.551086
4.75	-0.674487
4.8	-0.781381
4.85	-0.86915
4.9	-0.935646
4.95	-0.979243
